P_ID,4_Condition,5_Condition,6_Condition,4_NTLX_1_1,4_NTLX_2_1,4_NTLX_3_1,4_NTLX_4_1,4_NTLX_5_1,4_NTLX_6_1,5_NTLX_1_1,5_NTLX_2_1,5_NTLX_3_1,5_NTLX_4_1,5_NTLX_5_1,5_NTLX_6_1,6_NTLX_1_1,6_NTLX_2_1,6_NTLX_3_1,6_NTLX_4_1,6_NTLX_5_1,6_NTLX_6_1,4_SART_1_1,4_SART_2_1,4_SART_3_1,4_SART_4_1,4_SART_5_1,4_SART_6_1,4_SART_7_1,4_SART_8_1,4_SART_9_1,4_SART_10_1,5_SART_1_1,5_SART_2_1,5_SART_3_1,5_SART_4_1,5_SART_5_1,5_SART_6_1,5_SART_7_1,5_SART_8_1,5_SART_9_1,5_SART_10_1,6_SART_1_1,6_SART_2_1,6_SART_3_1,6_SART_4_1,6_SART_5_1,6_SART_6_1,6_SART_7_1,6_SART_8_1,6_SART_9_1,6_SART_10_1
Participant ID,A - Please select condition,B - Please select condition,C - Please select condition,"Mental Demand
How much mental and perceptual activity did you spend for this task? - A - 1","Physical Demand
How much physical activity did you spend for this task? - A - 1","Temporal Demand
How much time pressure did you feel in order to complete this task? - A - 1","Performance
How successful do you think you were in accomplishing the goals of the task?

Note the location of the endpoints are different before answering. - A - 1","Effort
How hard did you have to work to accomplish your level of performance? - A - 1","Frustration
How insecure, discouraged, irritated, stressed, and annoyed were you doing this task? - A - 1","Mental Demand
How much mental and perceptual activity did you spend for this task? - B - 1","Physical Demand
How much physical activity did you spend for this task? - B - 1","Temporal Demand
How much time pressure did you feel in order to complete this task? - B - 1","Performance
How successful do you think you were in accomplishing the goals of the task?

Note the location of the endpoints are different before answering. - B - 1","Effort
How hard did you have to work to accomplish your level of performance? - B - 1","Frustration
How insecure, discouraged, irritated, stressed, and annoyed were you doing this task? - B - 1","Mental Demand
How much mental and perceptual activity did you spend for this task? - C - 1","Physical Demand
How much physical activity did you spend for this task? - C - 1","Temporal Demand
How much time pressure did you feel in order to complete this task? - C - 1","Performance
How successful do you think you were in accomplishing the goals of the task?

Note the location of the endpoints are different before answering. - C - 1","Effort
How hard did you have to work to accomplish your level of performance? - C - 1","Frustration
How insecure, discouraged, irritated, stressed, and annoyed were you doing this task? - C - 1","Instability of Situation
How changeable is the situation? Is the situation highly unstable and likely to change suddenly (High) or is it very stable and straightforward (Low)? - A - 1","Complexity of Situation
How complicated is the situation? Is it complex with many interrelated components (High) or is it simple and straightforward (Low)? - A - 1","Variability of Situation
How many variables are changing within the situation? Are there a large number of factors varying (High) or are there very few variables changing (Low)? - A - 1","Arousal
How aroused are you in the situation? Are you alert and ready for activity (High) or do you have a low degree of alertness (Low)? - A - 1","Concentration of Attention
How much are you concentrating on the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)? - A - 1","Division of Attention
How much is your attention divided in the situation? Are you concentrating on many aspects of the situation (High) or focused on only one (Low)? - A - 1","Spare Mental Capacity
How much mental capacity do you have to spare in the situation? Do you have sufficient to attend to many variables (High) or nothing to spare at all (Low)? - A - 1","Information Quantity
How much information have you gained about the situation? Have you received and understood a great deal of knowledge (High) or very little (Low)? - A - 1","Information Quality
How good is the information you have gained about the situation? Is the knowledge communicated very useful (High) or is it insufficient (Low)? - A - 1","Familiarity with Situation
How familiar are you with the situation? Do you have a great deal of relevant experience (High) or is it a new situation (Low)? - A - 1","Instability of Situation
How changeable is the situation? Is the situation highly unstable and likely to change suddenly (High) or is it very stable and straightforward (Low)? - B - 1","Complexity of Situation
How complicated is the situation? Is it complex with many interrelated components (High) or is it simple and straightforward (Low)? - B - 1","Variability of Situation
How many variables are changing within the situation? Are there a large number of factors varying (High) or are there very few variables changing (Low)? - B - 1","Arousal
How aroused are you in the situation? Are you alert and ready for activity (High) or do you have a low degree of alertness (Low)? - B - 1","Concentration of Attention
How much are you concentrating on the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)? - B - 1","Division of Attention
How much is your attention divided in the situation? Are you concentrating on many aspects of the situation (High) or focused on only one (Low)? - B - 1","Spare Mental Capacity
How much mental capacity do you have to spare in the situation? Do you have sufficient to attend to many variables (High) or nothing to spare at all (Low)? - B - 1","Information Quantity
How much information have you gained about the situation? Have you received and understood a great deal of knowledge (High) or very little (Low)? - B - 1","Information Quality
How good is the information you have gained about the situation? Is the knowledge communicated very useful (High) or is it insufficient (Low)? - B - 1","Familiarity with Situation
How familiar are you with the situation? Do you have a great deal of relevant experience (High) or is it a new situation (Low)? - B - 1","Instability of Situation
How changeable is the situation? Is the situation highly unstable and likely to change suddenly (High) or is it very stable and straightforward (Low)? - C - 1","Complexity of Situation
How complicated is the situation? Is it complex with many interrelated components (High) or is it simple and straightforward (Low)? - C - 1","Variability of Situation
How many variables are changing within the situation? Are there a large number of factors varying (High) or are there very few variables changing (Low)? - C - 1","Arousal
How aroused are you in the situation? Are you alert and ready for activity (High) or do you have a low degree of alertness (Low)? - C - 1","Concentration of Attention
How much are you concentrating on the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)? - C - 1","Division of Attention
How much is your attention divided in the situation? Are you concentrating on many aspects of the situation (High) or focused on only one (Low)? - C - 1","Spare Mental Capacity
How much mental capacity do you have to spare in the situation? Do you have sufficient to attend to many variables (High) or nothing to spare at all (Low)? - C - 1","Information Quantity
How much information have you gained about the situation? Have you received and understood a great deal of knowledge (High) or very little (Low)? - C - 1","Information Quality
How good is the information you have gained about the situation? Is the knowledge communicated very useful (High) or is it insufficient (Low)? - C - 1","Familiarity with Situation
How familiar are you with the situation? Do you have a great deal of relevant experience (High) or is it a new situation (Low)? - C - 1"
"{""ImportId"":""QID20_TEXT""}","{""ImportId"":""4_QID21""}","{""ImportId"":""5_QID21""}","{""ImportId"":""6_QID21""}","{""ImportId"":""4_QID31_1""}","{""ImportId"":""4_QID36_1""}","{""ImportId"":""4_QID37_1""}","{""ImportId"":""4_QID38_1""}","{""ImportId"":""4_QID39_1""}","{""ImportId"":""4_QID40_1""}","{""ImportId"":""5_QID31_1""}","{""ImportId"":""5_QID36_1""}","{""ImportId"":""5_QID37_1""}","{""ImportId"":""5_QID38_1""}","{""ImportId"":""5_QID39_1""}","{""ImportId"":""5_QID40_1""}","{""ImportId"":""6_QID31_1""}","{""ImportId"":""6_QID36_1""}","{""ImportId"":""6_QID37_1""}","{""ImportId"":""6_QID38_1""}","{""ImportId"":""6_QID39_1""}","{""ImportId"":""6_QID40_1""}","{""ImportId"":""4_QID60_1""}","{""ImportId"":""4_QID54_1""}","{""ImportId"":""4_QID6_1""}","{""ImportId"":""4_QID53_1""}","{""ImportId"":""4_QID55_1""}","{""ImportId"":""4_QID56_1""}","{""ImportId"":""4_QID61_1""}","{""ImportId"":""4_QID59_1""}","{""ImportId"":""4_QID58_1""}","{""ImportId"":""4_QID57_1""}","{""ImportId"":""5_QID60_1""}","{""ImportId"":""5_QID54_1""}","{""ImportId"":""5_QID6_1""}","{""ImportId"":""5_QID53_1""}","{""ImportId"":""5_QID55_1""}","{""ImportId"":""5_QID56_1""}","{""ImportId"":""5_QID61_1""}","{""ImportId"":""5_QID59_1""}","{""ImportId"":""5_QID58_1""}","{""ImportId"":""5_QID57_1""}","{""ImportId"":""6_QID60_1""}","{""ImportId"":""6_QID54_1""}","{""ImportId"":""6_QID6_1""}","{""ImportId"":""6_QID53_1""}","{""ImportId"":""6_QID55_1""}","{""ImportId"":""6_QID56_1""}","{""ImportId"":""6_QID61_1""}","{""ImportId"":""6_QID59_1""}","{""ImportId"":""6_QID58_1""}","{""ImportId"":""6_QID57_1""}"
01_RT,A,B,C,74,6,43,21,60,4,69,4,53,84,89,1,90,3,23,52,89,3,2,3,2,6,3,2,5,3,2,4,3,2,3,5,4,4,6,3,2,4,4,3,2,6,5,5,5,3,2,3
02_OL,A,C,B,79,12,17,31,59,8,92,6,11,73,87,16,74,9,5,18,82,3,3,4,3,6,6,5,5,4,5,2,4,6,4,6,6,6,2,6,6,2,3,6,3,6,6,6,2,5,6,3
03_RT,A,B,C,63,16,11,62,58,12,80,20,0,91,54,65,93,18,27,90,84,88,2,2,2,5,5,4,3,6,5,4,3,4,4,6,6,6,2,5,4,5,2,5,2,6,6,6,1,5,5,6
04_OL,A,C,B,67,18,10,49,60,14,69,11,6,37,61,39,30,10,7,30,45,14,4,4,3,5,6,3,6,4,4,3,3,3,3,5,4,5,3,4,3,3,2,3,3,4,5,5,4,3,4,5
05_RT,A,B,C,61,21,0,24,34,1,51,14,51,18,27,2,51,51,1,32,30,6,1,1,2,4,5,2,6,3,3,7,7,3,5,4,5,6,6,5,5,7,5,3,4,1,5,7,5,7,6,6
06_OL,A,C,B,41,40,23,29,55,6,66,59,45,8,77,21,23,38,53,0,11,3,2,2,1,5,6,6,6,4,6,6,3,2,2,5,6,6,5,4,5,6,1,2,1,3,4,3,6,4,4,6
07_RT,A,B,C,71,51,18,9,90,57,98,28,39,16,94,12,97,10,28,30,100,10,2,4,3,6,7,5,6,7,7,4,2,3,4,5,2,4,1,6,5,5,1,5,4,6,7,5,2,5,6,6
08_OL,A,C,B,62,13,11,84,58,42,90,43,82,19,81,86,71,16,53,74,53,8,1,2,1,5,6,6,5,5,4,7,6,5,5,6,5,7,2,2,3,2,5,5,6,7,6,5,5,6,4,7
